frame,kind,death_cause,gender,number of agents
65,rabbit,alive,male,23
66,fox,alive,female,3
66,grass,alive,---,875
66,grass,eaten,---,2
66,rabbit,alive,female,18
66,rabbit,alive,male,23
67,fox,alive,female,3
67,grass,alive,---,874
67,grass,eaten,---,2
67,rabbit,alive,female,18
67,rabbit,alive,male,23
68,fox,alive,female,3
68,grass,alive,---,874
68,grass,eaten,---,1
68,rabbit,alive,female,18
68,rabbit,alive,male,23
69,fox,alive,female,3
69,grass,alive,---,873
69,grass,eaten,---,1
69,rabbit,alive,female,18
69,rabbit,alive,male,23
70,fox,alive,female,3
70,grass,alive,---,871
70,grass,eaten,---,3
70,rabbit,alive,female,18
70,rabbit,alive,male,23
71,fox,alive,female,3
71,grass,alive,---,869
71,grass,eaten,---,3
71,rabbit,alive,female,18
71,rabbit,alive,male,23
72,fox,alive,female,3
72,grass,alive,---,869
72,grass,eaten,---,3
72,rabbit,alive,female,18
72,rabbit,alive,male,23
73,fox,alive,female,3
73,grass,alive,---,868
73,grass,eaten,---,2
73,rabbit,alive,female,18
73,rabbit,alive,male,23
74,fox,alive,female,3
74,grass,alive,---,867
74,grass,eaten,---,2
74,rabbit,alive,female,18
74,rabbit,alive,male,23
75,fox,alive,female,3
75,grass,alive,---,866
75,grass,eaten,---,2
75,rabbit,alive,female,18
75,rabbit,alive,male,23
76,fox,alive,female,3
76,grass,alive,---,865
76,grass,eaten,---,2
76,rabbit,alive,female,18
76,rabbit,alive,male,23
77,fox,alive,female,3
77,grass,alive,---,865
77,grass,eaten,---,2
77,rabbit,alive,female,18
77,rabbit,alive,male,23
78,fox,alive,female,3
78,grass,alive,---,864
78,grass,eaten,---,2
78,rabbit,alive,female,18
78,rabbit,alive,male,23
79,fox,alive,female,3
79,grass,alive,---,864
79,grass,eaten,---,1
79,rabbit,alive,female,18
79,rabbit,alive,male,24
80,fox,alive,female,3
80,grass,alive,---,864
80,rabbit,alive,female,18
80,rabbit,alive,male,24
81,fox,alive,female,2
81,grass,alive,---,864
81,rabbit,alive,female,18
81,rabbit,alive,male,24
82,fox,alive,female,1
82,grass,alive,---,863
82,grass,eaten,---,1
82,rabbit,alive,female,18
82,rabbit,alive,male,24
83,grass,alive,---,862
83,grass,eaten,---,1
83,rabbit,alive,female,18
83,rabbit,alive,male,24
84,grass,alive,---,858
84,grass,eaten,---,5
84,rabbit,alive,female,18
84,rabbit,alive,male,24
85,grass,alive,---,858
85,grass,eaten,---,2
85,rabbit,alive,female,18
85,rabbit,alive,male,24
86,grass,alive,---,857
86,grass,eaten,---,1
86,rabbit,alive,female,18
86,rabbit,alive,male,24
87,grass,alive,---,857
87,rabbit,alive,female,18
87,rabbit,alive,male,24
88,grass,alive,---,856
88,grass,eaten,---,1
88,rabbit,alive,female,18
88,rabbit,alive,male,24
89,grass,alive,---,856
89,grass,eaten,---,1
89,rabbit,alive,female,18
89,rabbit,alive,male,24
90,grass,alive,---,856
90,rabbit,alive,female,18
90,rabbit,alive,male,24
91,grass,alive,---,854
91,grass,eaten,---,2
91,rabbit,alive,female,18
91,rabbit,alive,male,24
92,grass,alive,---,854
92,rabbit,alive,female,18
92,rabbit,alive,male,24
93,grass,alive,---,854
93,rabbit,alive,female,18
93,rabbit,alive,male,24
94,grass,alive,---,852
94,grass,eaten,---,2
94,rabbit,alive,female,18
94,rabbit,alive,male,24
95,grass,alive,---,851
95,grass,eaten,---,2
95,rabbit,alive,female,18
95,rabbit,alive,male,24
96,grass,alive,---,849
96,grass,eaten,---,3
96,rabbit,alive,female,18
96,rabbit,alive,male,24
97,grass,alive,---,849
97,grass,eaten,---,2
97,rabbit,alive,female,18
97,rabbit,alive,male,24
98,grass,alive,---,848
98,grass,eaten,---,3
98,rabbit,alive,female,18
98,rabbit,alive,male,24
99,grass,alive,---,848
99,grass,eaten,---,2
99,rabbit,alive,female,18
99,rabbit,alive,male,24
100,grass,alive,---,847
100,grass,eaten,---,3
100,rabbit,alive,female,18
100,rabbit,alive,male,23
101,grass,alive,---,846
101,grass,eaten,---,2
101,rabbit,alive,female,18
101,rabbit,alive,male,23
102,grass,alive,---,844
102,grass,eaten,---,4
102,rabbit,alive,female,19
102,rabbit,alive,male,23
103,grass,alive,---,843
103,grass,eaten,---,4
103,rabbit,alive,female,19
103,rabbit,alive,male,23
104,grass,alive,---,843
104,grass,eaten,---,3
104,rabbit,alive,female,19
104,rabbit,alive,male,23
105,grass,alive,---,841
105,grass,eaten,---,2
105,rabbit,alive,female,19
105,rabbit,alive,male,23
106,grass,alive,---,841
106,grass,eaten,---,1
106,rabbit,alive,female,19
106,rabbit,alive,male,23
107,grass,alive,---,840
107,grass,eaten,---,2
107,rabbit,alive,female,19
107,rabbit,alive,male,23
108,grass,alive,---,840
108,grass,eaten,---,1
108,rabbit,alive,female,19
108,rabbit,alive,male,23
109,grass,alive,---,838
109,grass,eaten,---,3
109,rabbit,alive,female,19
109,rabbit,alive,male,23
110,grass,alive,---,836
110,grass,eaten,---,3
110,rabbit,alive,female,19
110,rabbit,alive,male,23
111,grass,alive,---,834
111,grass,eaten,---,4
111,rabbit,alive,female,19
111,rabbit,alive,male,23
112,grass,alive,---,834
112,grass,eaten,---,3
112,rabbit,alive,female,19
112,rabbit,alive,male,23
113,grass,alive,---,834
113,grass,eaten,---,2
113,rabbit,alive,female,19
113,rabbit,alive,male,23
114,grass,alive,---,832
114,grass,eaten,---,4
114,rabbit,alive,female,19
114,rabbit,alive,male,23
115,grass,alive,---,832
115,grass,eaten,---,2
115,rabbit,alive,female,18
115,rabbit,alive,male,23
116,grass,alive,---,831
116,grass,eaten,---,2
116,rabbit,alive,female,18
116,rabbit,alive,male,23
117,grass,alive,---,830
117,grass,eaten,---,2
117,rabbit,alive,female,18
117,rabbit,alive,male,23
118,grass,alive,---,830
118,rabbit,alive,female,18
118,rabbit,alive,male,23
119,grass,alive,---,828
119,grass,eaten,---,2
119,rabbit,alive,female,17
119,rabbit,alive,male,23
120,grass,alive,---,827
120,grass,eaten,---,2
120,rabbit,alive,female,17
120,rabbit,alive,male,23
121,grass,alive,---,825
121,grass,eaten,---,2
121,rabbit,alive,female,17
121,rabbit,alive,male,23
122,grass,alive,---,823
122,grass,eaten,---,3
122,rabbit,alive,female,17
122,rabbit,alive,male,23
123,grass,alive,---,823
123,grass,eaten,---,1
123,rabbit,alive,female,16
123,rabbit,alive,male,23
124,grass,alive,---,821
124,grass,eaten,---,3
124,rabbit,alive,female,16
124,rabbit,alive,male,23
125,grass,alive,---,819
125,grass,eaten,---,4
125,rabbit,alive,female,16
125,rabbit,alive,male,23
126,grass,alive,---,819
126,grass,eaten,---,2
126,rabbit,alive,female,16
126,rabbit,alive,male,23
127,grass,alive,---,819
127,grass,eaten,---,1
127,rabbit,alive,female,16
127,rabbit,alive,male,23
128,grass,alive,---,817
128,grass,eaten,---,3
128,rabbit,alive,female,16
128,rabbit,alive,male,23
129,grass,alive,---,816
129,grass,eaten,---,2
129,rabbit,alive,female,16
129,rabbit,alive,male,22
130,grass,alive,---,815
130,grass,eaten,---,2
130,rabbit,alive,female,16
130,rabbit,alive,male,22
131,grass,alive,---,813
131,grass,eaten,---,2
131,rabbit,alive,female,16
131,rabbit,alive,male,22
132,grass,alive,---,812
132,grass,eaten,---,2
132,rabbit,alive,female,16
132,rabbit,alive,male,22
133,grass,alive,---,810
133,grass,eaten,---,2
133,rabbit,alive,female,16
133,rabbit,alive,male,22
134,grass,alive,---,810
134,rabbit,alive,female,16
134,rabbit,alive,male,22
135,grass,alive,---,810
135,rabbit,alive,female,16
135,rabbit,alive,male,22
136,grass,alive,---,809
136,grass,eaten,---,1
136,rabbit,alive,female,16
136,rabbit,alive,male,22
137,grass,alive,---,808
137,grass,eaten,---,2
137,rabbit,alive,female,16
137,rabbit,alive,male,22
138,grass,alive,---,806
138,grass,eaten,---,4
138,rabbit,alive,female,16
138,rabbit,alive,male,22
139,grass,alive,---,805
139,grass,eaten,---,3
139,rabbit,alive,female,16
139,rabbit,alive,male,22
140,grass,alive,---,805
140,grass,eaten,---,1
140,rabbit,alive,female,16
140,rabbit,alive,male,22
141,grass,alive,---,805
141,grass,eaten,---,1
141,rabbit,alive,female,16
141,rabbit,alive,male,22
142,grass,alive,---,804
142,grass,eaten,---,2
142,rabbit,alive,female,16
142,rabbit,alive,male,22
143,grass,alive,---,804
143,grass,eaten,---,2
143,rabbit,alive,female,16
143,rabbit,alive,male,22
144,grass,alive,---,804
144,grass,eaten,---,2
144,rabbit,alive,female,16
144,rabbit,alive,male,22
145,grass,alive,---,803
145,grass,eaten,---,3
145,rabbit,alive,female,16
145,rabbit,alive,male,22
146,grass,alive,---,803
146,grass,eaten,---,2
146,rabbit,alive,female,16
146,rabbit,alive,male,22
147,grass,alive,---,803
147,rabbit,alive,female,16
147,rabbit,alive,male,22
148,grass,alive,---,803
148,rabbit,alive,female,16
148,rabbit,alive,male,22
149,grass,alive,---,803
149,rabbit,alive,female,16
149,rabbit,alive,male,22
150,grass,alive,---,802
150,grass,eaten,---,1
150,rabbit,alive,female,16
150,rabbit,alive,male,21
151,grass,alive,---,800
151,grass,eaten,---,3
151,rabbit,alive,female,16
151,rabbit,alive,male,21
152,grass,alive,---,800
152,grass,eaten,---,2
152,rabbit,alive,female,16
152,rabbit,alive,male,21
153,grass,alive,---,798
153,grass,eaten,---,4
153,rabbit,alive,female,16
153,rabbit,alive,male,21
154,grass,alive,---,796
154,grass,eaten,---,3
154,rabbit,alive,female,16
154,rabbit,alive,male,21
155,grass,alive,---,796
155,grass,eaten,---,1
155,rabbit,alive,female,16
155,rabbit,alive,male,21
156,grass,alive,---,795
156,grass,eaten,---,1
156,rabbit,alive,female,16
156,rabbit,alive,male,21
157,grass,alive,---,794
157,grass,eaten,---,2
157,rabbit,alive,female,16
157,rabbit,alive,male,21
158,grass,alive,---,793
158,grass,eaten,---,2
158,rabbit,alive,female,16
158,rabbit,alive,male,21
159,grass,alive,---,793
159,grass,eaten,---,1
159,rabbit,alive,female,16
159,rabbit,alive,male,21
160,grass,alive,---,793
160,rabbit,alive,female,16
160,rabbit,alive,male,21
161,grass,alive,---,792
161,grass,eaten,---,1
161,rabbit,alive,female,16
161,rabbit,alive,male,21
162,grass,alive,---,790
162,grass,eaten,---,3
162,rabbit,alive,female,16
162,rabbit,alive,male,21
163,grass,alive,---,789
163,grass,eaten,---,3
163,rabbit,alive,female,16
163,rabbit,alive,male,21
164,grass,alive,---,789
164,grass,eaten,---,2
164,rabbit,alive,female,16
164,rabbit,alive,male,21
165,grass,alive,---,787
165,grass,eaten,---,3
165,rabbit,alive,female,16
165,rabbit,alive,male,21
166,grass,alive,---,787
166,grass,eaten,---,2
166,rabbit,alive,female,16
166,rabbit,alive,male,21
167,grass,alive,---,785
167,grass,eaten,---,3
167,rabbit,alive,female,16
167,rabbit,alive,male,20
168,grass,alive,---,785
168,grass,eaten,---,2
168,rabbit,alive,female,16
168,rabbit,alive,male,20
169,grass,alive,---,782
169,grass,eaten,---,4
169,rabbit,alive,female,16
169,rabbit,alive,male,20
170,grass,alive,---,781
170,grass,eaten,---,2
170,rabbit,alive,female,16
170,rabbit,alive,male,20
171,grass,alive,---,781
171,grass,eaten,---,1
171,rabbit,alive,female,16
171,rabbit,alive,male,20
172,grass,alive,---,779
172,grass,eaten,---,2
172,rabbit,alive,female,16
172,rabbit,alive,male,20
173,grass,alive,---,778
173,grass,eaten,---,2
173,rabbit,alive,female,16
173,rabbit,alive,male,20
174,grass,alive,---,777
174,grass,eaten,---,2
174,rabbit,alive,female,16
174,rabbit,alive,male,20
175,grass,alive,---,777
175,grass,eaten,---,1
175,rabbit,alive,female,16
175,rabbit,alive,male,20
176,grass,alive,---,777
176,grass,eaten,---,1
176,rabbit,alive,female,16
176,rabbit,alive,male,20
177,grass,alive,---,776
177,grass,eaten,---,1
177,rabbit,alive,female,16
177,rabbit,alive,male,20
178,grass,alive,---,776
178,rabbit,alive,female,16
178,rabbit,alive,male,20
179,grass,alive,---,775
179,grass,eaten,---,1
179,rabbit,alive,female,16
179,rabbit,alive,male,20
180,grass,alive,---,772
180,grass,eaten,---,3
180,rabbit,alive,female,16
180,rabbit,alive,male,20
181,grass,alive,---,770
181,grass,eaten,---,4
181,rabbit,alive,female,16
181,rabbit,alive,male,20
182,grass,alive,---,769
182,grass,eaten,---,3
182,rabbit,alive,female,16
182,rabbit,alive,male,20
183,grass,alive,---,769
183,grass,eaten,---,1
183,rabbit,alive,female,16
183,rabbit,alive,male,20
184,grass,alive,---,767
184,grass,eaten,---,2
184,rabbit,alive,female,16
184,rabbit,alive,male,20
185,grass,alive,---,766
185,grass,eaten,---,2
185,rabbit,alive,female,16
185,rabbit,alive,male,20
186,grass,alive,---,766
186,grass,eaten,---,1
186,rabbit,alive,female,16
186,rabbit,alive,male,20
187,grass,alive,---,764
187,grass,eaten,---,2
187,rabbit,alive,female,16
187,rabbit,alive,male,20
188,grass,alive,---,762
188,grass,eaten,---,4
188,rabbit,alive,female,16
188,rabbit,alive,male,20
189,grass,alive,---,762
189,grass,eaten,---,2
189,rabbit,alive,female,16
189,rabbit,alive,male,20
190,grass,alive,---,762
190,grass,eaten,---,2
190,rabbit,alive,female,16
190,rabbit,alive,male,20
191,grass,alive,---,762
191,grass,eaten,---,1
191,rabbit,alive,female,16
191,rabbit,alive,male,20
192,grass,alive,---,762
192,rabbit,alive,female,16
192,rabbit,alive,male,20
193,grass,alive,---,762
193,rabbit,alive,female,16
193,rabbit,alive,male,20
194,grass,alive,---,760
194,grass,eaten,---,2
194,rabbit,alive,female,16
194,rabbit,alive,male,20
195,grass,alive,---,759
195,grass,eaten,---,3
195,rabbit,alive,female,16
195,rabbit,alive,male,20
196,grass,alive,---,759
196,grass,eaten,---,3
196,rabbit,alive,female,16
196,rabbit,alive,male,20
197,grass,alive,---,757
197,grass,eaten,---,5
197,rabbit,alive,female,16
197,rabbit,alive,male,20
198,grass,alive,---,756
198,grass,eaten,---,2
198,rabbit,alive,female,16
198,rabbit,alive,male,20
199,grass,alive,---,756
199,grass,eaten,---,2
199,rabbit,alive,female,16
199,rabbit,alive,male,20
200,grass,alive,---,756
200,grass,eaten,---,1
200,rabbit,alive,female,16
200,rabbit,alive,male,20
201,grass,alive,---,756
201,rabbit,alive,female,16
201,rabbit,alive,male,20
202,grass,alive,---,756
202,rabbit,alive,female,15
202,rabbit,alive,male,20
203,grass,alive,---,756
203,rabbit,alive,female,15
203,rabbit,alive,male,20
204,grass,alive,---,755
204,grass,eaten,---,1
204,rabbit,alive,female,15
204,rabbit,alive,male,20
205,grass,alive,---,755
205,grass,eaten,---,1
205,rabbit,alive,female,15
205,rabbit,alive,male,20
206,grass,alive,---,753
206,grass,eaten,---,3
206,rabbit,alive,female,15
206,rabbit,alive,male,20
207,grass,alive,---,753
207,grass,eaten,---,2
207,rabbit,alive,female,15
207,rabbit,alive,male,20
208,grass,alive,---,752
208,grass,eaten,---,1
208,rabbit,alive,female,15
208,rabbit,alive,male,20
209,grass,alive,---,750
209,grass,eaten,---,3
209,rabbit,alive,female,15
209,rabbit,alive,male,20
210,grass,alive,---,749
210,grass,eaten,---,1
210,rabbit,alive,female,15
210,rabbit,alive,male,20
211,grass,alive,---,749
211,rabbit,alive,female,15
211,rabbit,alive,male,20
212,grass,alive,---,746
212,grass,eaten,---,3
212,rabbit,alive,female,15
212,rabbit,alive,male,20
213,grass,alive,---,745
213,grass,eaten,---,1
213,rabbit,alive,female,15
213,rabbit,alive,male,20
214,grass,alive,---,745
214,rabbit,alive,female,15
214,rabbit,alive,male,20
